epoch,train_loss,valid_loss,mIOU,time
0,1.6497708559036255,1.6056296825408936,0.365671803947413,10:36
1,1.5830001831054688,1.5432102680206299,0.3596309748219482,09:13
2,1.6291230916976929,1.576555609703064,0.37426670626920844,09:12
3,1.5889869928359985,1.543115496635437,0.3663786231571846,09:12
4,1.6016242504119873,1.599852204322815,0.37236341266954787,09:13
5,1.5629137754440308,1.6543374061584473,0.3564762655909484,09:13
6,1.5372874736785889,1.6691136360168457,0.36367576203289376,09:13
7,1.604475736618042,1.514032244682312,0.3599443142430162,09:14
8,1.5923826694488525,1.610863208770752,0.3501868610829218,09:14
9,1.6263748407363892,1.344305157661438,0.3651144572948224,09:14
10,1.6030672788619995,1.4226105213165283,0.3652117699529944,09:14
11,1.601839303970337,1.3422516584396362,0.3592693028381624,09:14
