epoch,train_loss,valid_loss,mIOU,time
0,1.4566692113876343,1.4398056268692017,0.4681679169987739,01:13
1,1.529470682144165,1.4554600715637207,0.4674468410402506,01:13
2,1.5441697835922241,1.4877610206604004,0.4720317421534373,01:14
3,1.5183324813842773,1.4643992185592651,0.4694071022825571,01:14
4,1.5242809057235718,1.4779294729232788,0.4692326106698486,01:13
5,1.46444833278656,1.4562517404556274,0.47177657211865126,01:14
6,1.4685828685760498,1.4642889499664307,0.4675263281009232,01:14
7,1.4577852487564087,1.4591964483261108,0.46650790030287076,01:14
8,1.4460440874099731,1.4508334398269653,0.4668249569001734,01:14
9,1.480139970779419,1.5073356628417969,0.4651669759466392,01:14
10,1.4744794368743896,1.5044605731964111,0.46715750350320967,01:14
11,1.4493080377578735,1.4552725553512573,0.4649082847468969,01:14
12,1.4664103984832764,1.500633955001831,0.46720917101625203,01:14
13,1.457600712776184,1.5054538249969482,0.46340574314256217,01:14
14,1.4452109336853027,1.4695961475372314,0.45915013482084205,01:14
15,1.4545034170150757,1.4642086029052734,0.4624863996939953,01:14
16,1.4389368295669556,1.4619680643081665,0.4634073987627243,01:14
17,1.4413806200027466,1.4855132102966309,0.462750162420262,01:14
18,1.4484708309173584,1.4665031433105469,0.46403362831730954,01:14
19,1.457742691040039,1.5219857692718506,0.4638449911271593,01:14
20,1.459945559501648,1.4218459129333496,0.4622379647561505,01:14
21,1.4482060670852661,1.4359248876571655,0.46234345954917727,01:14
22,1.4231549501419067,1.4593837261199951,0.4642316050062131,01:14
23,1.4328179359436035,1.4929630756378174,0.46305828825680423,01:14
24,1.4436492919921875,1.465837836265564,0.4646065315513543,01:14
25,1.4471246004104614,1.4969455003738403,0.4656785602854612,01:14
26,1.4332391023635864,1.4614620208740234,0.46275374332497987,01:14
27,1.4584909677505493,1.512311577796936,0.4597157526572816,01:14
28,1.4378318786621094,1.4697333574295044,0.46468361552000914,01:14
29,1.4262566566467285,1.5111361742019653,0.4635009258966311,01:14
30,1.4454467296600342,1.4743765592575073,0.46343993104336983,01:14
31,1.4434046745300293,1.478360652923584,0.46132459467744086,01:17
32,1.441047191619873,1.468146562576294,0.4664533398249929,01:23
33,1.4273658990859985,1.4864258766174316,0.4646662089447046,01:23
34,1.428717851638794,1.5097101926803589,0.46430103045703786,01:23
35,1.4208920001983643,1.4909077882766724,0.46528332693731633,01:23
36,1.3974753618240356,1.4588555097579956,0.4653412140494356,01:23
37,1.4180716276168823,1.5009125471115112,0.46653769018002333,01:23
38,1.4411131143569946,1.489607572555542,0.4646911189172593,01:16
39,1.401160717010498,1.4747077226638794,0.465100908327751,01:14
40,1.4437315464019775,1.5008138418197632,0.4667533877582282,01:14
41,1.422692894935608,1.492368459701538,0.4671578539380493,01:14
42,1.4289551973342896,1.481161117553711,0.4668038572464795,01:14
43,1.4209928512573242,1.499985694885254,0.46722516152613164,01:14
44,1.4249656200408936,1.499377965927124,0.4650641014712525,01:16
45,1.4283281564712524,1.4915109872817993,0.4666462257581742,01:16
46,1.4155603647232056,1.4913580417633057,0.4666791670817113,01:16
47,1.435875415802002,1.50833261013031,0.4673131890292151,01:16
48,1.421919584274292,1.4796520471572876,0.46483544722394776,01:16
49,1.421290397644043,1.4778777360916138,0.465682507450003,01:16
