epoch,train_loss,valid_loss,mIOU,time
0,1.1335960626602173,1.3135122060775757,0.1327080534346979,01:27
1,1.1122392416000366,1.4729512929916382,0.15838005280178283,01:22
2,1.0852746963500977,0.8549606204032898,0.2008708564506356,01:22
3,1.1073490381240845,1.0115761756896973,0.18883345625893558,01:22
4,1.112342357635498,1.23505437374115,0.15219422580145825,01:22
5,1.1074881553649902,1.0787975788116455,0.16720442714057246,01:23
6,1.1310099363327026,1.3540539741516113,0.17005136560956033,01:23
7,1.1384011507034302,1.2872669696807861,0.18808292855269604,01:23
8,1.10239839553833,0.929814338684082,0.19994368311742097,01:23
9,1.1519482135772705,0.7664610147476196,0.20845077248285254,01:23
10,1.1382731199264526,1.2778692245483398,0.17918127689986238,01:23
11,1.1201598644256592,1.1126906871795654,0.18659528971096087,01:22
12,1.1423972845077515,0.7283172607421875,0.18780696975106118,01:23
13,1.1348495483398438,1.270447850227356,0.1916080400147751,01:23
14,1.0957344770431519,1.278100609779358,0.2143803509549115,01:23
15,1.1230701208114624,1.372103214263916,0.20736627145568173,01:22
16,1.1114497184753418,0.8952577710151672,0.22330982442336522,01:23
17,1.1007996797561646,1.2776424884796143,0.21890381567245182,01:23
18,1.0889184474945068,1.1777637004852295,0.21575128935255702,01:23
19,1.0921540260314941,1.3516793251037598,0.2051529040689439,01:23
20,1.0777339935302734,1.2144982814788818,0.22243048405477225,01:22
21,1.0828161239624023,1.3202884197235107,0.21409393688667305,01:23
22,1.078564167022705,1.141115665435791,0.23060003680308927,01:23
23,1.0720382928848267,1.1809453964233398,0.20711559745126437,01:24
24,1.0831291675567627,1.1792634725570679,0.2209875254192176,01:23
25,1.0924983024597168,1.153712511062622,0.23410060866192015,01:24
26,1.0838743448257446,1.347428321838379,0.22756233964819803,01:24
27,1.076287865638733,1.0323680639266968,0.24883446935682785,01:23
28,1.0620819330215454,1.0939143896102905,0.23214638517093455,01:22
29,1.0532063245773315,1.041149377822876,0.25631738180306546,01:22
30,1.0514696836471558,1.0335336923599243,0.2383891518184114,01:22
31,1.0419269800186157,1.0852513313293457,0.25470482161038266,01:22
32,1.0572832822799683,0.9476358294487,0.26967042127948687,01:22
33,1.0499423742294312,1.156850814819336,0.25686815950668535,01:22
34,1.042906641960144,0.9266795516014099,0.23374038872790112,01:22
35,1.0236613750457764,1.2649248838424683,0.2183250773294726,01:22
36,1.0528374910354614,0.9805837869644165,0.27335174006055507,01:22
37,1.0199477672576904,1.0768120288848877,0.27259419649550093,01:22
38,1.0161855220794678,1.0077848434448242,0.2748749658748292,01:22
39,1.0278503894805908,0.9864581227302551,0.29137120685279705,01:22
40,1.004974365234375,1.0943326950073242,0.2812798984864519,01:22
41,1.0128451585769653,0.9257966876029968,0.3010435310375916,01:23
42,1.0043261051177979,1.0204609632492065,0.2951197799451022,01:22
43,0.9942525029182434,0.99506014585495,0.3002799646106008,01:23
44,0.9923442602157593,1.0455117225646973,0.30717858362543643,01:22
45,0.9853212833404541,1.0045868158340454,0.30430524790915225,01:22
46,0.9923079609870911,1.0422892570495605,0.31120990637462537,01:23
47,0.9681032299995422,0.9932274222373962,0.3094007257217095,01:23
48,0.9647132158279419,1.010446548461914,0.3093266957611026,01:22
49,0.9842731952667236,0.9990969300270081,0.31069960300879845,01:22
epoch,train_loss,valid_loss,mIOU,time
0,0.9955699443817139,1.0313687324523926,0.30958580322383045,01:21
